RISKFACTOR,idCHAR,nameCHAR,typeCHAR,descriptionCHAR,modelCHAR,meanNMBR,stdNMBR,skewNMBR,kurtNMBR,value_baseNMBR,mr_levelNMBR,mr_rateNMBR,nodeNMBR,node2NMBR
Item,RF_ALT_BTC,RF_ALT_BTC,RF_ALT,Riskfactor Bitcoin EUR,GBM,,,,,1,,,,
Item,RF_COM_GOLD,RF_COM_GOLD,RF_COM,Riskfactor Physical Gold,GBM,,,,,1,,,,
Item,RF_COM_SILVER,RF_COM_SILVER,RF_COM,Riskfactor Physical Silver,GBM,,,,,1,,,,
Item,RF_EQ_ALLIANZ,RF_EQ_ALLIANZ,RF_EQ,Riskfactor Equity Allianz,GBM,,,,,1,,,,
Item,RF_EQ_AP,RF_EQ_AP,RF_EQ,Riskfactor Equity AsiaPacific,GBM,,,,,1,,,,
Item,RF_EQ_EM,RF_EQ_EM,RF_EQ,Riskfactor Equity EmergingMarkets,GBM,,,,,1,,,,
Item,RF_EQ_EU,RF_EQ_EU,RF_EQ,Riskfactor Equity Europe,GBM,,,,,1,,,,
Item,RF_EQ_NA,RF_EQ_NA,RF_EQ,Riskfactor Equity NorthAmerica,GBM,,,,,1,,,,
Item,RF_FX_EURCHF,RF_FX_EURCHF,RF_FX,Riskfactor Forex EUR CHF,GBM,,,,,1,,,,
Item,RF_FX_EURGBP,RF_FX_EURGBP,RF_FX,Riskfactor Forex EUR GBP,GBM,,,,,1,,,,
Item,RF_FX_EURJPY,RF_FX_EURJPY,RF_FX,Riskfactor Forex EUR JPY,GBM,,,,,1,,,,
Item,RF_FX_EURUSD,RF_FX_EURUSD,RF_FX,Riskfactor Forex EUR USD,GBM,,,,,1,,,,
Item,RF_IR_EUR_10Y,RF_IR_EUR_10Y,RF_IR,Riskfactor IR EUR 10year,BM,,,,,0,,,3650,
Item,RF_IR_EUR_1Y,RF_IR_EUR_1Y,RF_IR,Riskfactor IR EUR 1year,BM,,,,,0,,,365,
Item,RF_IR_EUR_20Y,RF_IR_EUR_20Y,RF_IR,Riskfactor IR EUR 20year,BM,,,,,0,,,7300,
Item,RF_IR_EUR_3Y,RF_IR_EUR_3Y,RF_IR,Riskfactor IR EUR 3year,BM,,,,,0,,,1095,
Item,RF_IR_EUR_5Y,RF_IR_EUR_5Y,RF_IR,Riskfactor IR EUR 5year,BM,,,,,0,,,1825,
Item,RF_IR_USD_10Y,RF_IR_USD_10Y,RF_IR,Riskfactor IR USD 10year,BM,,,,,0,,,3650,
Item,RF_IR_USD_1Y,RF_IR_USD_1Y,RF_IR,Riskfactor IR USD 1year,BM,,,,,0,,,365,
Item,RF_IR_USD_30Y,RF_IR_USD_30Y,RF_IR,Riskfactor IR USD 20year,BM,,,,,0,,,10950,
Item,RF_IR_USD_3Y,RF_IR_USD_3Y,RF_IR,Riskfactor IR USD 3year,BM,,,,,0,,,1095,
Item,RF_IR_USD_5Y,RF_IR_USD_5Y,RF_IR,Riskfactor IR USD 4year,BM,,,,,0,,,1825,
Item,RF_RE_DM,RF_RE_DM,RF_RE,Riskfactor RealEstate World DM,GBM,,,,,1,,,,
Item,RF_VOLA_EQ_US,RF_VOLA_EQ_US,RF_VOLA,Riskfactor Impl Vola CBOE,GBM,,,,,1,,,,

