RF1CHAR,RF2CHAR,CorrelationNMBR
RF_ALT_BTC,RF_ALT_BTC,1.000000
RF_ALT_BTC,RF_COM_GOLD,0.017125
RF_ALT_BTC,RF_COM_SILVER,-0.052570
RF_ALT_BTC,RF_EQ_ALLIANZ,0.007304
RF_ALT_BTC,RF_EQ_AP,-0.030502
RF_ALT_BTC,RF_EQ_EM,-0.036633
RF_ALT_BTC,RF_EQ_EU,-0.009854
RF_ALT_BTC,RF_EQ_NA,-0.004338
RF_ALT_BTC,RF_FX_EURCHF,-0.008547
RF_ALT_BTC,RF_FX_EURGBP,0.057922
RF_ALT_BTC,RF_FX_EURJPY,0.024519
RF_ALT_BTC,RF_FX_EURUSD,0.033183
RF_ALT_BTC,RF_IR_EUR_10Y,-0.044634
RF_ALT_BTC,RF_IR_EUR_1Y,-0.060115
RF_ALT_BTC,RF_IR_EUR_20Y,-0.032611
RF_ALT_BTC,RF_IR_EUR_3Y,-0.049219
RF_ALT_BTC,RF_IR_EUR_5Y,-0.046781
RF_ALT_BTC,RF_IR_USD_10Y,-0.015447
RF_ALT_BTC,RF_IR_USD_1Y,0.023899
RF_ALT_BTC,RF_IR_USD_30Y,-0.016636
RF_ALT_BTC,RF_IR_USD_3Y,-0.012308
RF_ALT_BTC,RF_IR_USD_5Y,-0.032771
RF_ALT_BTC,RF_RE_DM,-0.032413
RF_ALT_BTC,RF_VOLA_EQ_US,-0.025351
RF_COM_GOLD,RF_COM_GOLD,1.000000
RF_COM_GOLD,RF_COM_SILVER,0.723560
RF_COM_GOLD,RF_EQ_ALLIANZ,-0.046975
RF_COM_GOLD,RF_EQ_AP,-0.018988
RF_COM_GOLD,RF_EQ_EM,-0.006440
RF_COM_GOLD,RF_EQ_EU,-0.056686
RF_COM_GOLD,RF_EQ_NA,-0.069976
RF_COM_GOLD,RF_FX_EURCHF,-0.125844
RF_COM_GOLD,RF_FX_EURGBP,0.094808
RF_COM_GOLD,RF_FX_EURJPY,-0.118446
RF_COM_GOLD,RF_FX_EURUSD,0.338367
RF_COM_GOLD,RF_IR_EUR_10Y,-0.129307
RF_COM_GOLD,RF_IR_EUR_1Y,-0.027937
RF_COM_GOLD,RF_IR_EUR_20Y,-0.110692
RF_COM_GOLD,RF_IR_EUR_3Y,-0.089577
RF_COM_GOLD,RF_IR_EUR_5Y,-0.119880
RF_COM_GOLD,RF_IR_USD_10Y,-0.245783
RF_COM_GOLD,RF_IR_USD_1Y,-0.267109
RF_COM_GOLD,RF_IR_USD_30Y,-0.148121
RF_COM_GOLD,RF_IR_USD_3Y,-0.313813
RF_COM_GOLD,RF_IR_USD_5Y,-0.305587
RF_COM_GOLD,RF_RE_DM,0.243333
RF_COM_GOLD,RF_VOLA_EQ_US,0.063204
RF_COM_SILVER,RF_COM_SILVER,1.000000
RF_COM_SILVER,RF_EQ_ALLIANZ,0.118788
RF_COM_SILVER,RF_EQ_AP,0.038041
RF_COM_SILVER,RF_EQ_EM,0.024982
RF_COM_SILVER,RF_EQ_EU,-0.003700
RF_COM_SILVER,RF_EQ_NA,0.002674
RF_COM_SILVER,RF_FX_EURCHF,-0.114249
RF_COM_SILVER,RF_FX_EURGBP,0.052315
RF_COM_SILVER,RF_FX_EURJPY,0.024174
RF_COM_SILVER,RF_FX_EURUSD,0.367521
RF_COM_SILVER,RF_IR_EUR_10Y,0.005286
RF_COM_SILVER,RF_IR_EUR_1Y,0.008859
RF_COM_SILVER,RF_IR_EUR_20Y,0.041962
RF_COM_SILVER,RF_IR_EUR_3Y,-0.026308
RF_COM_SILVER,RF_IR_EUR_5Y,-0.031390
RF_COM_SILVER,RF_IR_USD_10Y,-0.034200
RF_COM_SILVER,RF_IR_USD_1Y,-0.109217
RF_COM_SILVER,RF_IR_USD_30Y,0.057648
RF_COM_SILVER,RF_IR_USD_3Y,-0.146212
RF_COM_SILVER,RF_IR_USD_5Y,-0.116238
RF_COM_SILVER,RF_RE_DM,0.312751
RF_COM_SILVER,RF_VOLA_EQ_US,-0.090857
RF_EQ_ALLIANZ,RF_EQ_ALLIANZ,1.000000
RF_EQ_ALLIANZ,RF_EQ_AP,0.137613
RF_EQ_ALLIANZ,RF_EQ_EM,0.035100
RF_EQ_ALLIANZ,RF_EQ_EU,0.042680
RF_EQ_ALLIANZ,RF_EQ_NA,0.138892
RF_EQ_ALLIANZ,RF_FX_EURCHF,0.136935
RF_EQ_ALLIANZ,RF_FX_EURGBP,-0.130160
RF_EQ_ALLIANZ,RF_FX_EURJPY,0.316992
RF_EQ_ALLIANZ,RF_FX_EURUSD,0.044527
RF_EQ_ALLIANZ,RF_IR_EUR_10Y,0.188684
RF_EQ_ALLIANZ,RF_IR_EUR_1Y,0.114902
RF_EQ_ALLIANZ,RF_IR_EUR_20Y,0.253080
RF_EQ_ALLIANZ,RF_IR_EUR_3Y,0.085151
RF_EQ_ALLIANZ,RF_IR_EUR_5Y,0.102248
RF_EQ_ALLIANZ,RF_IR_USD_10Y,0.378278
RF_EQ_ALLIANZ,RF_IR_USD_1Y,0.123430
RF_EQ_ALLIANZ,RF_IR_USD_30Y,0.389277
RF_EQ_ALLIANZ,RF_IR_USD_3Y,0.282274
RF_EQ_ALLIANZ,RF_IR_USD_5Y,0.315566
RF_EQ_ALLIANZ,RF_RE_DM,0.474343
RF_EQ_ALLIANZ,RF_VOLA_EQ_US,-0.542561
RF_EQ_AP,RF_EQ_AP,1.000000
RF_EQ_AP,RF_EQ_EM,0.725601
RF_EQ_AP,RF_EQ_EU,0.670855
RF_EQ_AP,RF_EQ_NA,0.624376
RF_EQ_AP,RF_FX_EURCHF,0.036890
RF_EQ_AP,RF_FX_EURGBP,-0.137813
RF_EQ_AP,RF_FX_EURJPY,0.115792
RF_EQ_AP,RF_FX_EURUSD,0.043375
RF_EQ_AP,RF_IR_EUR_10Y,0.067563
RF_EQ_AP,RF_IR_EUR_1Y,0.134075
RF_EQ_AP,RF_IR_EUR_20Y,0.048589
RF_EQ_AP,RF_IR_EUR_3Y,0.145463
RF_EQ_AP,RF_IR_EUR_5Y,0.116620
RF_EQ_AP,RF_IR_USD_10Y,0.040481
RF_EQ_AP,RF_IR_USD_1Y,0.091975
RF_EQ_AP,RF_IR_USD_30Y,-0.022657
RF_EQ_AP,RF_IR_USD_3Y,0.140756
RF_EQ_AP,RF_IR_USD_5Y,0.123442
RF_EQ_AP,RF_RE_DM,0.187373
RF_EQ_AP,RF_VOLA_EQ_US,-0.282664
RF_EQ_EM,RF_EQ_EM,1.000000
RF_EQ_EM,RF_EQ_EU,0.728131
RF_EQ_EM,RF_EQ_NA,0.648451
RF_EQ_EM,RF_FX_EURCHF,0.016264
RF_EQ_EM,RF_FX_EURGBP,-0.070464
RF_EQ_EM,RF_FX_EURJPY,0.094483
RF_EQ_EM,RF_FX_EURUSD,0.082737
RF_EQ_EM,RF_IR_EUR_10Y,0.055901
RF_EQ_EM,RF_IR_EUR_1Y,0.120645
RF_EQ_EM,RF_IR_EUR_20Y,0.023172
RF_EQ_EM,RF_IR_EUR_3Y,0.146642
RF_EQ_EM,RF_IR_EUR_5Y,0.115146
RF_EQ_EM,RF_IR_USD_10Y,-0.000261
RF_EQ_EM,RF_IR_USD_1Y,0.036920
RF_EQ_EM,RF_IR_USD_30Y,-0.069937
RF_EQ_EM,RF_IR_USD_3Y,0.130434
RF_EQ_EM,RF_IR_USD_5Y,0.096050
RF_EQ_EM,RF_RE_DM,0.113787
RF_EQ_EM,RF_VOLA_EQ_US,-0.326024
RF_EQ_EU,RF_EQ_EU,1.000000
RF_EQ_EU,RF_EQ_NA,0.767890
RF_EQ_EU,RF_FX_EURCHF,0.067583
RF_EQ_EU,RF_FX_EURGBP,-0.150362
RF_EQ_EU,RF_FX_EURJPY,0.129973
RF_EQ_EU,RF_FX_EURUSD,0.038956
RF_EQ_EU,RF_IR_EUR_10Y,0.026898
RF_EQ_EU,RF_IR_EUR_1Y,0.072699
RF_EQ_EU,RF_IR_EUR_20Y,0.028220
RF_EQ_EU,RF_IR_EUR_3Y,0.082254
RF_EQ_EU,RF_IR_EUR_5Y,0.057965
RF_EQ_EU,RF_IR_USD_10Y,-0.020593
RF_EQ_EU,RF_IR_USD_1Y,0.064212
RF_EQ_EU,RF_IR_USD_30Y,-0.112658
RF_EQ_EU,RF_IR_USD_3Y,0.188399
RF_EQ_EU,RF_IR_USD_5Y,0.117399
RF_EQ_EU,RF_RE_DM,0.076161
RF_EQ_EU,RF_VOLA_EQ_US,-0.355461
RF_EQ_NA,RF_EQ_NA,1.000000
RF_EQ_NA,RF_FX_EURCHF,0.036690
RF_EQ_NA,RF_FX_EURGBP,-0.101974
RF_EQ_NA,RF_FX_EURJPY,0.168228
RF_EQ_NA,RF_FX_EURUSD,0.021590
RF_EQ_NA,RF_IR_EUR_10Y,0.055510
RF_EQ_NA,RF_IR_EUR_1Y,0.121196
RF_EQ_NA,RF_IR_EUR_20Y,0.054282
RF_EQ_NA,RF_IR_EUR_3Y,0.087160
RF_EQ_NA,RF_IR_EUR_5Y,0.069168
RF_EQ_NA,RF_IR_USD_10Y,0.087617
RF_EQ_NA,RF_IR_USD_1Y,0.142074
RF_EQ_NA,RF_IR_USD_30Y,-0.002208
RF_EQ_NA,RF_IR_USD_3Y,0.281599
RF_EQ_NA,RF_IR_USD_5Y,0.217810
RF_EQ_NA,RF_RE_DM,0.153517
RF_EQ_NA,RF_VOLA_EQ_US,-0.490969
RF_FX_EURCHF,RF_FX_EURCHF,1.000000
RF_FX_EURCHF,RF_FX_EURGBP,0.081607
RF_FX_EURCHF,RF_FX_EURJPY,0.320774
RF_FX_EURCHF,RF_FX_EURUSD,0.158699
RF_FX_EURCHF,RF_IR_EUR_10Y,0.180741
RF_FX_EURCHF,RF_IR_EUR_1Y,0.112286
RF_FX_EURCHF,RF_IR_EUR_20Y,0.185414
RF_FX_EURCHF,RF_IR_EUR_3Y,0.115583
RF_FX_EURCHF,RF_IR_EUR_5Y,0.148145
RF_FX_EURCHF,RF_IR_USD_10Y,0.185391
RF_FX_EURCHF,RF_IR_USD_1Y,0.183578
RF_FX_EURCHF,RF_IR_USD_30Y,0.159070
RF_FX_EURCHF,RF_IR_USD_3Y,0.194873
RF_FX_EURCHF,RF_IR_USD_5Y,0.166130
