RF1CHAR,RF2CHAR,CorrelationNMBR
RF_EQ_EU,RF_EQ_EU,1
RF_EQ_NA,RF_EQ_EU,0.7609765843
RF_FX_EURUSD,RF_EQ_EU,0.1996429397
RF_EQ_EM,RF_EQ_EU,0.7342554061
RF_EQ_AP,RF_EQ_EU,0.7016637588
RF_ALT_BTC,RF_EQ_EU,0.0328702983
RF_COM_GOLD,RF_EQ_EU,0.0011895116
RF_RE_DM,RF_EQ_EU,0.5660457867
RF_COM_SILVER,RF_EQ_EU,0.1886690331
RF_IR_USD_1Y,RF_EQ_EU,0.0165748091
RF_IR_USD_5Y,RF_EQ_EU,0.1636853944
RF_IR_USD_10Y,RF_EQ_EU,0.1213601898
RF_IR_USD_30Y,RF_EQ_EU,0.0893888689
RF_IR_EUR_1Y,RF_EQ_EU,0.1921758083
RF_IR_EUR_5Y,RF_EQ_EU,0.1087099458
RF_IR_EUR_10Y,RF_EQ_EU,0.168674704
RF_IR_EUR_20Y,RF_EQ_EU,0.180359188
RF_EQ_NA,RF_EQ_NA,1
RF_FX_EURUSD,RF_EQ_NA,-0.036333864
RF_EQ_EM,RF_EQ_NA,0.6480970329
RF_EQ_AP,RF_EQ_NA,0.5944496728
RF_ALT_BTC,RF_EQ_NA,0.0574509408
RF_COM_GOLD,RF_EQ_NA,-0.1477771817
RF_RE_DM,RF_EQ_NA,0.5518122104
RF_COM_SILVER,RF_EQ_NA,0.0481825158
RF_IR_USD_1Y,RF_EQ_NA,0.0121127861
RF_IR_USD_5Y,RF_EQ_NA,0.2076851316
RF_IR_USD_10Y,RF_EQ_NA,0.1725744217
RF_IR_USD_30Y,RF_EQ_NA,0.140299227
RF_IR_EUR_1Y,RF_EQ_NA,0.0997617471
RF_IR_EUR_5Y,RF_EQ_NA,0.0759044903
RF_IR_EUR_10Y,RF_EQ_NA,0.1061693622
RF_IR_EUR_20Y,RF_EQ_NA,0.1276751272
RF_FX_EURUSD,RF_FX_EURUSD,1
RF_EQ_EM,RF_FX_EURUSD,0.1189170697
RF_EQ_AP,RF_FX_EURUSD,-0.0058352688
RF_ALT_BTC,RF_FX_EURUSD,0.0516384508
RF_COM_GOLD,RF_FX_EURUSD,0.3361754468
