POSITION,port_idCHAR,idCHAR,quantityNMBR,custodian_bankCHAR,tax_rateNMBR
Item,PRIVATE,ETF060,746.0000,BNP Paribas,0.2640
Item,PRIVATE,ETF012,198.0000,BNP Paribas,0.2640
Item,PRIVATE,ETF114,449.0000,BNP Paribas,0.2640
Item,PRIVATE,LYX0BX,0.0000,comdirect Bank,0.2640
Item,PRIVATE,LYX0AG,0.0000,comdirect Bank,0.2640
Item,PRIVATE,A0LGQL,1532.0000,BNP Paribas,0.2640
Item,PRIVATE,BTCOIN,1.9800,Wallet,0.0000
Item,PRIVATE,GOLDPHYS,32.3110,Physical,0.0000
Item,PRIVATE,SILVERPHYS,56.1500,Physical,0.0000
Item,PRIVATE,ETF127,1389.0000,BNP Paribas,0.2640
Item,PRIVATE,A188AL,30.0000,BNP Paribas,0.2640
Item,PRIVATE,840400,53.2800,Equatex,0.2640
Item,PRIVATE,PKDW,1,Pensionskasse der Deutschen Wirtschaft,0.0000
Item,PRIVATE,DEBEKA_BSV,1,Deutsche Beamtenkasse,0.0000
Item,PRIVATE,DKB_SPARPLAN,1,Deutsche Kreditbank,0.0000
Item,PRIVATE,ALLIANZ_PEN,1,Allianz,0.0000
Item,EVA,CASH_EUR,9103.1104,comdirect Bank,0.0000
Item,EVA,ETF110,45.9090,comdirect Bank,0.0000
Item,EVA,ETF127,18.3480,comdirect Bank,0.0000
Item,EVA,GOLDPHYS,1.0000,Physical,0.0000
Item,EVA,LYX0AG,49.4220,comdirect Bank,0.0000
Item,EVA,LYX0BX,301.5300,comdirect Bank,0.0000
Item,PRIVATE,CASH_EUR,59343.1797,comdirect Bank,0.0000

